school_name,state,start_date,end_date,news_link,notes
New England Conservatory,MA,2020-03-13,,https://necmusic.edu/health-alert,
New Jersey Institute of Technology,NJ,2020-03-10,,https://www.njit.edu/healthservices/coronavirus,
New York Institute of Technology,NY,2020-03-11,,https://www.nyit.edu/alerts,
New York University,NY,2020-03-11,,https://www.nyu.edu/life/safety-health-wellness/coronavirus-information.html,
Norfolk State University,VA,2020-03-23,2020-04-06,https://www.nsu.edu/Coronavirus,"Classes will be delivered online beginning Monday, March 23, 2020 and will continue to be delivered online through April 6, 2020."
North American University,TX,2020-03-23,,https://www.na.edu/coronavirus/,"NAU has decided to move in-person classes online beginning March 23, 2020."
North Carolina State University,NC,2020-03-16,,https://www.ncsu.edu/coronavirus/extended-spring-break-online-classes-new-travel-restrictions/,
Northeastern University-Boston Campus,MA,2020-03-12,,https://news.northeastern.edu/coronavirus/university-messages/advancing-our-mission-in-a-time-of-uncertainty/,
Northeastern University-San Francisco Campus,CA,2020-03-09,,https://news.northeastern.edu/coronavirus/university-messages/covid-19-planning/,
Northeastern University-Seattle Campus,WA,2020-03-09,,https://news.northeastern.edu/coronavirus/university-messages/covid-19-planning/,
Northern State University,SD,2020-03-16,2020-05-08, https://news.sd.gov/newsitem.aspx?id=26563,all public university courses will continue by remote delivery through the remainder of the spring semester. Face-to-face instruction will not resume. The spring 2020 semester is scheduled to end May 8.
Northwestern University,IL,2020-03-21,2020-04-24,https://www.northwestern.edu/coronavirus-covid-19-updates/,
Oberlin College,OH,2020-03-18,2020-03-25,https://www.morningjournal.com/news/lorain-county/oberlin-college-extends-spring-break-over-coronavirus-concerns/article_1e4ed486-6398-11ea-83a9-f7472194c86e.html,
Oglala Lakota College,SD,2020-03-16,2020-05-08, https://news.sd.gov/newsitem.aspx?id=26563,all public university courses will continue by remote delivery through the remainder of the spring semester. Face-to-face instruction will not resume. The spring 2020 semester is scheduled to end May 8.
Ohio State University,OH,2020-03-10,,https://www.ohio.edu/news/2020/03/president-nellis-provides-critical-update-about-ohios-response-coronavirus,
Ohio University,OH,2020-03-23,,https://www.ohio.edu/alert,
Old Dominion University,VA,2020-03-23,2020-04-06,https://www.odu.edu/emergency/news/2020/2/novel_coronavirus_co,"the University decided to extend spring break for one week, suspend in-person classes and move them online for the immediate future. We plan to resume all classes, online, on Monday, March 23."
Olin College of Engineering,MA,2020-03-20,,http://www.olin.edu/news-events/2020/community-message-olin-president-rick-miller-covid-19-important-updates/,
Pace University,NY,2020-03-11,,https://www.pace.edu/college-health-professions/university-health-care/coronavirus,
Pacific Lutheran University,WA,2020-03-10,2020-03-29,https://www.plu.edu/chws/coronavirus/messages-coronavirus/,
Palo Alto University,CA,2020-03-09,2020-04-05,https://www.paloaltou.edu/all-pau-classes-go-online-monday-march-9-due-covid-19-coronavirus,
Pennsylvania State University System,PA,2020-03-16,2020-04-06,https://news.psu.edu/story/611757/2020/03/11/academics/all-penn-state-classes-take-place-remotely-beginning-march-16,
Pepperdine University,CA,2020-03-13,,https://www.pepperdine.edu/coronavirus/,
Prairie View A&M University,TX,2020-03-11,2020-03-23,http://www.pvamu.edu/wp-content/uploads/2020/03/Classes-to-Resume-March-23.pdf,
Princeton University,NJ,2020-03-14,,https://www.princeton.edu/content/covid-19-coronavirus-information,
